city,country,latitude,longitude,max temperature,humidity,cloudiness,wind speed,date
butaritari,KI,3.07,172.79,84.18,77,19,13.33,1593056062
payakumbuh,ID,-0.22,100.63,87.89,49,40,1.05,1593056335
newport,GB,51.59,-3.0,66.99,81,0,9.46,1593056359
busselton,AU,-33.65,115.33,60.01,70,97,3.0,1593056059
jamestown,US,42.1,-79.24,55.4,82,40,4.7,1593056061
bambous virieux,MU,-20.34,57.76,71.6,88,75,14.99,1593056066
pevek,RU,69.7,170.31,33.22,92,100,4.21,1593056057
tuktoyaktuk,CA,69.45,-133.04,42.8,75,75,13.87,1593056060
adrar,MR,20.5,-10.07,92.73,17,0,9.26,1593056437
rikitea,PF,-23.12,-134.97,71.33,58,96,9.78,1593056063
virginia beach,US,36.85,-75.98,73.99,83,75,3.36,1593056432
avarua,CK,-21.21,-159.78,75.2,78,38,5.82,1593056083
fortuna,US,40.6,-124.16,61.0,100,90,11.41,1593056090
east london,ZA,-33.02,27.91,67.93,26,0,5.68,1593056061
laje,BR,-10.18,-40.97,67.84,83,91,12.57,1593056468
cabedelo,BR,-6.98,-34.83,76.46,78,38,13.22,1593056123
mataura,NZ,-46.19,168.86,49.95,72,0,8.84,1593056058
new norfolk,AU,-42.78,147.06,55.99,90,31,1.01,1593056077
campo maior,BR,-4.83,-42.17,75.42,70,78,2.66,1593056468
yar-sale,RU,66.83,70.83,54.97,54,94,11.12,1593056114
kyra,RU,49.58,111.98,66.78,61,67,12.06,1593056468
albany,US,42.6,-73.97,71.01,75,1,4.03,1593055801
dudinka,RU,69.41,86.18,62.6,63,1,4.47,1593056341
mahebourg,MU,-20.41,57.7,71.6,88,75,14.99,1593056064
springfield,US,37.22,-93.3,72.0,68,1,6.93,1593056328
arlit,NE,18.74,7.39,85.84,13,0,2.26,1593056102
ushuaia,AR,-54.8,-68.3,35.6,80,75,6.93,1593056057
nador,MA,35.17,-2.93,71.6,88,75,4.7,1593056469
balikpapan,ID,-1.27,116.83,82.4,88,40,9.17,1593056469
barstow,US,34.9,-117.02,98.6,10,1,16.11,1593056469
sawtell,AU,-30.38,153.1,69.01,52,0,8.05,1593056469
kenai,US,60.55,-151.26,57.0,62,90,6.93,1593056071
vaini,TO,-21.2,-175.2,77.0,69,75,8.05,1593056076
garissa,KE,-0.45,39.64,73.6,76,46,14.88,1593056470
port elizabeth,ZA,-33.92,25.57,59.0,27,0,6.93,1593055968
punta arenas,CL,-53.15,-70.92,33.8,80,63,6.93,1593056064
georgetown,MY,5.41,100.34,87.8,66,20,11.41,1593055948
sao felix do xingu,BR,-6.64,-51.99,70.77,89,25,1.81,1593056207
puerto leguizamo,CO,-0.19,-74.78,70.7,87,73,1.66,1593056123
caravelas,BR,-17.71,-39.25,70.11,88,50,4.65,1593056470
beringovskiy,RU,63.05,179.32,39.96,91,92,7.27,1593056471
hualmay,PE,-11.1,-77.61,61.03,85,88,7.16,1593056471
tilichiki,RU,60.47,166.1,66.27,45,80,15.75,1593056395
saldanha,ZA,-33.01,17.94,59.0,87,9,3.36,1593056089
bluff,NZ,-46.6,168.33,51.06,77,1,18.45,1593056065
temirtau,KZ,50.05,72.95,66.2,55,95,2.24,1593056471
khani,GE,41.96,42.96,66.2,93,75,3.36,1593056471
bull savanna,JM,17.89,-77.59,75.92,90,3,4.81,1593056117
hilo,US,19.73,-155.09,75.2,88,90,4.7,1593056080
kodiak,US,57.79,-152.41,53.6,76,90,12.75,1593055985
yellowknife,CA,62.46,-114.35,60.8,77,75,5.82,1593055872
vallenar,CL,-28.57,-70.76,55.11,61,0,3.87,1593056120
sorland,NO,67.67,12.69,54.05,95,96,20.27,1593056108
karangampel,ID,-6.46,108.45,83.79,65,100,7.49,1593056472
bandarbeyla,SO,9.49,50.81,85.86,55,33,25.12,1593056060
lebu,CL,-37.62,-73.65,44.56,83,0,4.45,1593056075
vardo,NO,70.37,31.11,50.0,76,26,11.41,1593056068
marawi,PH,8.0,124.29,84.99,81,100,8.99,1593056325
khandyga,RU,62.67,135.6,83.21,31,55,2.24,1593056473
geraldton,AU,-28.77,114.6,66.2,55,0,14.99,1593055842
bethel,US,41.37,-73.41,66.99,77,1,3.36,1593055968
norilsk,RU,69.35,88.2,62.6,63,23,4.47,1593056473
port alfred,ZA,-33.59,26.89,68.0,30,0,7.0,1593056082
kokoda,PG,-8.88,147.74,86.59,47,42,5.97,1593056473
kushima,JP,31.46,131.23,84.2,74,75,3.36,1593056473
upernavik,GL,72.79,-56.15,34.54,91,35,0.58,1593056068
mar del plata,AR,-38.0,-57.56,53.01,87,96,6.93,1593055842
sao filipe,CV,14.9,-24.5,75.11,85,6,7.18,1593056090
nicoya,CR,10.15,-85.45,75.65,90,99,2.19,1593056474
mareeba,AU,-17.0,145.43,81.0,66,1,5.01,1593056086
tautira,PF,-17.73,-149.15,80.6,78,75,3.36,1593056120
isangel,VU,-19.55,169.27,78.8,88,90,5.82,1593056093
hithadhoo,MV,-0.6,73.08,84.22,75,97,10.0,1593056057
burla,IN,21.5,83.87,86.0,74,20,4.7,1593056474
marsaxlokk,MT,35.84,14.54,71.01,100,20,1.12,1593056474
karratha,AU,-20.74,116.85,80.94,24,0,16.08,1593056268
clyde river,CA,70.47,-68.59,41.0,80,1,5.55,1593056077
deputatskiy,RU,69.3,139.9,79.54,27,2,9.93,1593056214
iqaluit,CA,63.75,-68.51,42.8,93,90,2.24,1593056061
boali,CF,4.8,18.13,70.12,92,99,1.72,1593056475
ngaoundere,CM,7.32,13.58,63.09,94,67,5.73,1593056475
nanton,CA,50.35,-113.77,57.99,90,77,1.01,1593056234
